Role,Level,Skills,Next_Step,Projects

Java Developer,Beginner,"Java Basics, JDK Setup, JVM Architecture, Datatypes, Variables, Type Casting, Operators, Control Statements, Loops, Arrays, Strings, Methods, OOP Concepts, Constructors, Access Modifiers, Static Keyword, Exception Handling, Collections Framework, Wrapper Classes, File Handling, Debugging, IDE Usage","Build Mini Projects + Learn Spring Boot","Calculator App, Student Management System, Bank System (OOP), File Handling Project, Number Guessing Game, Library Management System"
Java Developer,Intermediate,"Spring Boot, REST API, MySQL, MVC Architecture, Layered Architecture, Dependency Injection, Hibernate, JPA, CRUD Operations, Exception Handling, Validation, Logging, Postman API Testing, Git, Maven, JSON Handling, DTO Mapping, Service Layer, Repository Layer, Application Properties, Profiles","Build Backend Projects + Deploy APIs","Employee Management System (CRUD API), E-commerce Backend (Products, Orders, Users), Banking System API (Transactions, Balance), Student Course Registration System, Hospital Management System (Patients, Doctors, Appointments), Authentication System (JWT Login/Register), Blog API (Posts, Comments, Likes), Inventory Management System, Task Management API (To-Do with Status), Food Delivery Backend (Orders, Restaurants)"
Java Developer,Advanced,"Microservices Architecture, Spring Boot Advanced, Spring Cloud, API Gateway, Eureka Service Discovery, Load Balancing, Resilience4j Circuit Breaker, Distributed Systems, Docker, Docker Compose, Kubernetes Basics, AWS EC2, AWS S3, AWS RDS, IAM, CI/CD, GitHub Actions, Jenkins, Kafka, RabbitMQ, Redis Caching, JWT Security, OAuth2, Spring Security, ELK Stack Logging, Prometheus Monitoring, Grafana, Swagger OpenAPI, Rate Limiting, API Versioning, Database Optimization, Indexing, Query Tuning, MongoDB, System Design, High Availability, Scalability, Fault Tolerance, Clean Architecture, Design Patterns, Code Optimization, JUnit, Mockito, Integration Testing","Apply for Jobs + Build Scalable Production Projects + Deploy on Cloud","E-Commerce Microservices System,Banking System (Distributed Microservices),Online Food Delivery System (Swiggy/Zomato Clone)"

Python Developer,Beginner,"Python Basics, Installation and Setup, IDE Usage (VS Code, PyCharm), Variables and Data Types, Type Casting, Operators, Conditional Statements (if-else), Loops (for, while), Functions, Arguments and Return Values, Lists, Tuples, Sets, Dictionaries, String Manipulation, Input and Output Handling, File Handling (read/write), Exception Handling (try-except), Modules and Packages, Virtual Environments (venv), Basic Debugging Techniques, Code Readability (PEP8), Basic Problem Solving, Working with JSON, Basic CLI Programs","Build Mini Projects + Learn Flask + Practice Problem Solving","Student Management System, Bank System (CLI), To-Do List App, Password Generator, Blog App (Flask), Login & Register System, Notes App, Expense Tracker, CSV/JSON Data Analyzer, REST API (Flask), URL Shortener (Basic), Quiz Game, Number Guessing Game"
Python Developer,Intermediate,"Flask Framework, REST API Development, API Design Best Practices, Routing and Blueprints, Jinja2 Templates, Request and Response Handling, Form Handling and Validation, Authentication (JWT, Sessions), Flask Extensions (Flask-Login, Flask-WTF), Database Integration (SQLite, MySQL), ORM (SQLAlchemy), CRUD Operations, MVC Architecture, Error Handling and Logging, Environment Variables, Working with APIs (requests), JSON Handling, Pandas (Data Cleaning, Transformation, Analysis), NumPy Basics, Data Visualization (Matplotlib, Seaborn), File Handling (CSV, Excel), Web Scraping (BeautifulSoup, Requests), Automation Scripts, Git and GitHub, Virtual Environments, Debugging Techniques, Unit Testing (pytest), Basic Docker Usage, Deployment Basics (Render/Heroku), Performance Optimization Basics","Build Real-World Projects + APIs + Start ML Projects + Deploy Applications | Python Installation Video: https://www.youtube.com/watch?v=rfscVS0vtbw"
Python Developer,Advanced,"Machine Learning (Supervised, Unsupervised, Reinforcement Learning), Deep Learning (ANN, CNN, RNN, LSTM), NLP (Text Processing, Tokenization, Transformers, BERT), Model Evaluation (Accuracy, Precision, Recall, F1 Score), Feature Engineering, Data Preprocessing, Model Optimization (Hyperparameter Tuning, GridSearchCV), Deployment (Flask, FastAPI, Streamlit), MLOps Basics, Docker, CI/CD, Cloud Deployment (AWS, GCP), Model Monitoring, Scikit-learn, TensorFlow, PyTorch, Pandas, NumPy","Apply for Jobs + Build Scalable AI Projects + Deploy on Cloud"

Frontend Developer,Beginner,"HTML5 (Semantic Tags, Forms, Tables, SEO Basics), CSS3 (Selectors, Box Model, Flexbox, Grid, Positioning, Media Queries, Responsive Design), JavaScript Basics (Variables, Datatypes, Operators, Functions, Events, DOM Manipulation, Loops, Arrays, Objects), Browser Basics (DOM, BOM, DevTools), Version Control (Git Basics), UI Basics (Layouts, Colors, Typography), Debugging Basics, Basic Accessibility (ARIA), Cross Browser Compatibility","Learn React + Build Responsive Websites + Practice Mini Projects"
Frontend Developer,Intermediate,"React Core (Components, Props, State, Lifecycle, Hooks - useState, useEffect, useRef, useContext), Advanced Hooks (Custom Hooks), Routing (React Router), State Management (Context API, Redux Toolkit), API Integration (Axios, Fetch, Async/Await, Error Handling), Form Handling (Formik / React Hook Form), Validation (Yup), Performance Optimization (Memoization, useMemo, useCallback), Component Reusability, Code Splitting, Lazy Loading, Environment Variables, Git Advanced (Branching, Merging, Pull Requests), Package Management (npm/yarn), UI Libraries (Material UI, Tailwind CSS, Bootstrap), Responsive Design, Authentication (JWT Handling), Protected Routes, Local Storage & Session Storage, Debugging with React DevTools, Basic Testing (Jest, React Testing Library), Deployment (Netlify, Vercel, GitHub Pages)","Build Full Stack Projects + Create Production-Ready Portfolio"
Frontend Developer,Advanced,"Next.js (SSR, SSG, ISR, App Router), Advanced Performance Optimization (Code Splitting, Lazy Loading, Tree Shaking, Bundle Analysis), Web Vitals Optimization (LCP, CLS, FID), SEO Optimization (Meta Tags, Structured Data, Server Rendering), Advanced State Management (Redux Toolkit, Zustand, Recoil), Architecture Patterns (Atomic Design, Feature-Based Structure), Micro Frontends, TypeScript Advanced (Generics, Utility Types), Authentication & Authorization (JWT, OAuth, Role-Based Access), Security (XSS, CSRF, CORS, Content Security Policy), API Layer Design (GraphQL, Apollo Client, React Query, SWR), Advanced Styling (Tailwind Advanced, CSS Modules, Styled Components), Animations (Framer Motion), Accessibility (ARIA, WCAG), Testing (Jest, React Testing Library, Cypress, E2E Testing), Error Boundaries & Logging, Progressive Web Apps (PWA), WebSockets & Real-time Apps, Internationalization (i18n), CI/CD (GitHub Actions), Docker Basics (Frontend Deployment), Cloud Deployment (Vercel, AWS, Firebase Hosting), Monitoring (Sentry), System Design Basics for Frontend, Scalability & Maintainability","Build Scalable Production Apps + Contribute to Open Source + Crack Product-Based Companies"

Backend Developer,Beginner,"Node.js Basics, Node Runtime, Event Loop, Non-Blocking I/O, NPM & Package Management, Express.js Setup, Routing, Middleware Concepts, Request & Response Handling, REST API Fundamentals, HTTP Methods (GET, POST, PUT, DELETE), Status Codes, JSON Handling, Environment Variables (.env), Basic Error Handling, Debugging Basics, MVC Structure Intro, File Handling (fs module), Nodemon Usage, API Testing (Postman), CORS Basics, Async Programming (Callbacks, Promises, Async/Await), Basic Security (Helmet, Rate Limiting Intro), Logging Basics, Git Basics","Learn Database Integration + Build APIs","Notes API (CRUD), User Management API, Product API, File Upload API, Simple Auth API (Login/Register), Blog API (Basic), Task Manager API, JSON File Storage Project, CLI-Based API Simulator"
Backend Developer,Intermediate,"Advanced Express.js, Modular Architecture, MVC Pattern, Layered Architecture (Controller-Service-Repository), MongoDB Fundamentals, Collections & Documents, CRUD Operations (MongoDB), Mongoose ODM, Schema Design, Relationships (Embedding vs Referencing), Indexing Basics, Authentication (JWT, Sessions), Authorization (Role-Based Access), Password Hashing (bcrypt), Middleware Advanced Usage, API Validation (Joi / express-validator), Pagination & Filtering, Sorting, Error Handling Middleware, Logging (Winston/Morgan), API Security (CORS, Helmet, Rate Limiting), File Uploads (Multer, Cloudinary), REST API Best Practices, Environment Config (dotenv), API Documentation (Swagger), Testing Basics (Jest), Caching Basics (Redis Intro), Background Jobs (Bull Queue Intro), Email Service Integration, Third-Party API Integration, Git Advanced (Branching, PR), Docker Basics, Deployment (Render/Heroku/VPS)","Build Full Stack + Scalable APIs","E-commerce Backend (Users, Products, Orders, Cart), Blog System (Auth + Comments + Likes), JWT Auth System (Access & Refresh Tokens), File Upload Service (Cloudinary Integration), Task Management System (Filters + Status + Pagination), Chat Backend (Socket.io), Notification Service (Email/SMS), URL Shortener API, Payment Integration (Mock Stripe), Dockerized Backend App"
Backend Developer,Advanced,"Microservices Architecture, Monolith vs Microservices, Service Decomposition, API Gateway Pattern, Service Communication (REST, gRPC), Event-Driven Architecture, Message Brokers (Kafka, RabbitMQ), Asynchronous Processing, Distributed Systems Concepts, CAP Theorem, Consistency Models, Circuit Breaker (Resilience Patterns), Load Balancing, Service Discovery, Docker Advanced, Docker Compose, Kubernetes Basics (Pods, Services, Deployments), Cloud Deployment (AWS EC2, S3, RDS, IAM), CI/CD Pipelines (GitHub Actions, Jenkins), Infrastructure as Code Basics, Advanced Security (OAuth2, JWT Advanced, API Security Best Practices), Rate Limiting Strategies, API Versioning, Caching Strategies (Redis Advanced), Database Scaling (Sharding, Replication), SQL vs NoSQL Optimization, Query Performance Tuning, Indexing Advanced, Logging & Monitoring (ELK Stack), Observability (Prometheus, Grafana), Distributed Tracing, High Availability Design, Fault Tolerance, System Design Principles, Clean Architecture, Design Patterns (Factory, Singleton, Strategy), Code Optimization, Testing (Unit, Integration, E2E), Contract Testing, Chaos Engineering Basics","Apply for Jobs + Build Production Systems","Microservices E-commerce System (API Gateway + Services), Distributed Banking System (Transactions + Events), Real-time Chat System (WebSockets + Scaling), Event-driven Order Processing System (Kafka), SaaS Multi-tenant Backend, High-scale URL Shortener (Redis + DB), Real-time Analytics Backend, CI/CD Pipeline Project (Auto Deploy), Kubernetes Deployment Project, API Gateway + Service Discovery System"

Data Analyst,Beginner,"Excel (Formulas, Pivot Tables, VLOOKUP, XLOOKUP), SQL Basics (SELECT, WHERE, JOIN), Python Basics, Data Cleaning, Data Types, Basic Statistics, Data Interpretation, CSV/Excel Handling, Problem Solving","Learn Pandas + Visualization"
